BattleEnvironment,Level,AdventurerType,AverageStepCount,ID
Forest,1,Mage,26825,153
Forest,1,Brawler,26825,153
Sea,3,Swordsman,27162,154
Sea,3,Swordsman,27162,154
Mountain,0,Mage,27495,155
Mountain,3,Swordsman,27495,155
Forest,3,Swordsman,27711,156
Forest,3,Swordsman,27711,156
Sea,1,Mage,27945,157
Sea,1,Mage,27945,157
Forest,3,Mage,28060,158
Forest,1,Swordsman,28060,158
Mountain,2,Brawler,28082,159
Mountain,2,Swordsman,28082,159
Mountain,2,Swordsman,28441,160
Mountain,3,Brawler,28441,160
Sea,3,Swordsman,28507,161
Sea,3,Brawler,28507,161
Volcano,2,Brawler,28972,162
Volcano,1,Swordsman,28972,162
Mountain,2,Swordsman,29065,163
Mountain,2,Brawler,29065,163
Sea,2,Mage,29237,164
Sea,3,Swordsman,29237,164
Volcano,3,Brawler,29345,165
Volcano,1,Mage,29345,165
Forest,3,Mage,29382,166
Forest,2,Swordsman,29382,166
Mountain,3,Swordsman,29490,167
Mountain,3,Swordsman,29490,167
Forest,2,Swordsman,29682,168
Forest,2,Mage,29682,168
Volcano,2,Brawler,30042,169
Volcano,2,Brawler,30042,169
Mountain,3,Brawler,30047,170
Mountain,2,Brawler,30047,170
Sea,3,Swordsman,30065,171
Sea,2,Brawler,30065,171
Forest,2,Swordsman,30070,172
Forest,3,Mage,30070,172
Sea,3,Swordsman,30417,173
Sea,2,Swordsman,30417,173
Forest,4,Mage,30592,174
Forest,2,Mage,30592,174
Forest,3,Swordsman,30925,175
Forest,3,Swordsman,30925,175
Volcano,3,Mage,30950,176
Volcano,2,Brawler,30950,176
Sea,2,Swordsman,31027,177
Sea,3,Swordsman,31027,177
Sea,3,Brawler,31308,178
Sea,2,Swordsman,31308,178
Sea,2,Swordsman,31635,179
Sea,1,Mage,31635,179
Forest,2,Swordsman,31682,180
Forest,2,Mage,31682,180
Forest,1,Mage,32095,181
Forest,2,Brawler,32095,181
Volcano,2,Mage,32272,182
Volcano,4,Mage,32272,182
Sea,2,Brawler,32562,183
Sea,3,Swordsman,32562,183
Volcano,2,Swordsman,32827,184
Volcano,3,Brawler,32827,184
Sea,2,Brawler,32872,185
Sea,3,Mage,32872,185
Sea,4,Mage,33372,186
Sea,2,Mage,33372,186
Mountain,3,Swordsman,33517,187
Mountain,2,Brawler,33517,187
Forest,3,Swordsman,33657,188
Forest,2,Mage,33657,188
Volcano,3,Brawler,33745,189
Volcano,4,Swordsman,33745,189
Sea,2,Brawler,33757,190
Sea,1,Mage,33757,190
Mountain,2,Brawler,33912,191
Mountain,3,Brawler,33912,191
Forest,1,Mage,34095,192
Forest,3,Swordsman,34095,192
Mountain,2,Brawler,34169,193
Mountain,2,Swordsman,34169,193
Volcano,3,Brawler,34347,194
Volcano,2,Swordsman,34347,194
Sea,4,Mage,34387,195
Sea,1,Mage,34387,195
Forest,3,Swordsman,34540,196
Forest,3,Swordsman,34540,196
Volcano,4,Swordsman,34698,197
Volcano,2,Swordsman,34698,197
Mountain,3,Swordsman,35012,198
Mountain,3,Mage,35012,198
Volcano,2,Swordsman,35027,199
Volcano,3,Brawler,35027,199
Sea,4,Swordsman,35162,200
Sea,3,Swordsman,35162,200
Volcano,1,Swordsman,35447,201
Volcano,3,Mage,35447,201
Forest,2,Mage,35572,202
Forest,4,Mage,35572,202
Sea,2,Swordsman,35655,203
Sea,2,Mage,35655,203
Mountain,4,Swordsman,35935,204
Mountain,2,Brawler,35935,204
Forest,3,Brawler,35957,205
Forest,3,Mage,35957,205
Sea,3,Mage,36247,206
Sea,3,Swordsman,36247,206
Forest,2,Mage,36315,207
Forest,4,Mage,36315,207
Volcano,3,Swordsman,36362,208
Volcano,3,Brawler,36362,208
Mountain,3,Mage,36720,209
Mountain,3,Mage,36720,209
Sea,4,Swordsman,36750,210
Sea,2,Brawler,36750,210
Forest,3,Swordsman,36880,211
Forest,3,Mage,36880,211
Mountain,2,Mage,37062,212
Mountain,4,Brawler,37062,212
Volcano,4,Mage,37152,213
Volcano,3,Mage,37152,213
Sea,2,Swordsman,37222,214
Sea,3,Swordsman,37222,214
Forest,3,Swordsman,37520,215
Forest,3,Swordsman,37520,215
Sea,2,Brawler,37622,216
Sea,3,Swordsman,37622,216
Volcano,1,Mage,37695,217
Volcano,2,Brawler,37695,217
Forest,3,Mage,37910,218
Forest,3,Swordsman,37910,218
Sea,4,Brawler,38020,219
